"STT","Mã sản phẩm","CODE","Tên sản phẩm","Đơn vị tính","Số lượng","Giá vốn"
"149","35990","YDH76","Y Đạt Hòa 76 mỏng","Cái"," "
"150","35991","YDH90","Y Đạt Hòa 90 mỏng","Cái"," "
"151","35992","YDH110","Y Đạt Hòa 110 mỏng","Cái"," "
"152","35993","YDH114","Y Đạt Hòa 114 mỏng","Cái"," "
"153","35994","YDH140","Y Đạt Hòa 140 mỏng","Cái"," "
"154","35995","YDH168","Y Đạt Hòa 168 mỏng","Cái"," "
"155","35996","YDH11490","Y Đạt Hòa 114/90 mỏng","Cái"," "
"156","35997","YDH9060","Y Đạt Hòa 90/60 mỏng","Cái"," "
"157","35998","CTDH42","Con thỏ Đạt Hòa 42 mỏng","Cái"," "
"158","35999","CTDH49","Con thỏ Đạt Hòa 49 mỏng","Cái"," "
"159","36000","CTDH60","Con thỏ Đạt Hòa 60 mỏng","Cái"," "
"160","36001","LPBDH21","Lúppê bầu Đạt Hòa 21","Cái"," "
"161","36002","LPBDH27","Lúppê bầu Đạt Hòa 27","Cái"," "
"162","36003","LPTDH34","Lúppê thẳng Đạt Hòa 34","Cái"," "
"163","36004","LPTDH42","Lúppê thẳng Đạt Hòa 42","Cái"," "
"164","36005","LPBDH49","Lúppê bầu Đạt Hòa 49","Cái"," "
"165","36006","LPTDH60","Lúppê thẳng Đạt Hòa 60","Cái"," "
"166","36007","VDH21","Val Đạt Hòa 21","Cái"," "
"167","36008","VDH27","Val Đạt Hòa 27","Cái"," "
"168","36009","VDH34","Val Đạt Hòa 34","Cái"," "
"169","36010","VDH42","Val Đạt Hòa 42","Cái"," "
"170","36011","VDH49","Val Đạt Hòa 49","Cái"," "
"171","36012","VDH60","Val Đạt Hòa 60","Cái"," "
"172","36013","MD21","Móc đinh Đạt Hòa 21","bịch"," "
"173","36014","MD27","Móc đinh Đạt Hòa 27","bịch"," "
"174","36015","MD34","Móc đinh Đạt Hòa 34","bịch"," "
"175","36016","MD42","Móc đinh Đạt Hòa 42","bịch"," "
"176","36017","NDH212A","Nối Đạt Hòa 21 2A","Cái"," "
"177","36018","NDH272A","Nối Đạt Hòa 27 2A","Cái"," "
"178","36019","NDH42342A","Nối Đạt Hòa 42/34 2A","Cái"," "
"179","36020","NDH49212A","Nối Đạt Hòa 49/21 2A","Cái"," "
"180","36021","NDH49272A","Nối Đạt Hòa 49/27 2A","Cái"," "
"181","36022","NDH49342A","Nối Đạt Hòa 49/34 2A","Cái"," "
"182","36023","NDH49422A","Nối Đạt Hòa 49/42 2A","Cái"," "
"183","36024","NDH60212A","Nối Đạt Hòa 60/21 2A","Cái"," "
"184","36025","NDH60272A","Nối Đạt Hòa 60/27 2A","Cái"," "
"185","36026","NDH60342A","Nối Đạt Hòa 60/34 2A","Cái"," "
"186","36027","NDH60422A","Nối Đạt Hòa 60/42 2A","Cái"," "
"187","36028","NDH60492A","Nối Đạt Hòa 60/49 2A","Cái"," "
"188","36029","NDH342A","Nối Đạt Hòa 34 2A","Cái"," "
"189","36030","NDH 42 2A","Nối Đạt Hòa 42 2A","Cái"," "
"190","36032","NDH492A","Nối Đạt Hòa 49 2A","Cái"," "
"191","36033","NDH60 2A","Nối Đạt Hòa 60 2A","Cái"," "
"192","36034","NDH762A","Nối Đạt Hòa 76 2A","Cái"," "
"193","36035","NDH902A","Nối Đạt Hòa 90 2A","Cái"," "
"194","36036","NDH1142A","Nối Đạt Hòa 114 2A","Cái"," "
"195","36037","","Móc đinh Đạt Hòa 49","bịch"," "
"196","36038","","Móc đinh Đạt Hòa 60","bịch"," "
"197","36039","","Móc đinh Đạt Hòa 76","Cái"," "
"198","36040","","Móc đinh Đạt Hòa 90","bịch"," "
"199","36041","","Móc đinh Đạt Hòa 114","bịch"," "
"200","36042","","Móc đinh đôi Đạt Hòa 21","bịch"," "
"201","36043","","Móc đinh đôi Đạt Hòa 27","bịch"," "
"202","36044","","Mặt bích Đạt Hòa 8 lỗ 114","Cái"," "
"203","36045","","Mặt bích Đạt Hòa 8 lỗ 168","Cái"," "
"204","36046","","Mặt bích Đạt Hòa 8 lỗ 220","Cái"," "
"205","36047","","Đai khởi thủy Đạt Hòa 60/27","Cái"," "
"206","36048","","Đai khởi thủy Đạt Hòa 60/34","Cái"," "
